outer_postcode	adm2
BT74	FERMANAGH_AND_OMAGH
M45	BURY
PE7	CAMBRIDGESHIRE
TW3	GREATER_LONDON
OL7	TAMESIDE
CT8	KENT
M3	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
S98	SHEFFIELD
G90	GLASGOW
L20	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
SO31	HAMPSHIRE
CA95	CUMBRIA
NR33	SUFFOLK|NORFOLK
BL1	BOLTON
CF63	VALE_OF_GLAMORGAN
WC2A	GREATER_LONDON
LE55	LEICESTER
CT5	KENT
GU52	HAMPSHIRE
CA10	CUMBRIA
BD20	BRADFORD|NORTH_YORKSHIRE|LANCASHIRE
PO1	PORTSMOUTH
WR12	WORCESTERSHIRE|GLOUCESTERSHIRE
IP31	SUFFOLK
TW17	SURREY
CH6	FLINTSHIRE
EH49	WEST_LOTHIAN|FALKIRK
LL36	GWYNEDD
NE70	NORTHUMBERLAND
FK2	STIRLING|FALKIRK
KW5	HIGHLAND
DE11	LEICESTERSHIRE|DERBYSHIRE|RUTLAND
PE19	CAMBRIDGESHIRE
IP12	SUFFOLK
TF10	STAFFORDSHIRE|SHROPSHIRE|TELFORD_AND_WREKIN
RH16	WEST_SUSSEX
EC1Y	GREATER_LONDON
LE3	LEICESTERSHIRE|LEICESTER
L22	SEFTON
UB6	GREATER_LONDON
TA17	SOMERSET
KT11	SURREY
MK13	MILTON_KEYNES
N2	GREATER_LONDON
WF9	WAKEFIELD
NR18	NORFOLK
M41	TRAFFORD
WR7	WORCESTERSHIRE
EN9	HERTFORDSHIRE|ESSEX|GREATER_LONDON
WS14	STAFFORDSHIRE
BD19	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
BS15	BRISTOL|BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE
SA62	PEMBROKESHIRE
G2	GLASGOW
PO35	ISLE_OF_WIGHT
SK4	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
ME12	KENT
DL5	DURHAM
LA19	CUMBRIA
EH23	MIDLOTHIAN
CT9	KENT
WV15	STAFFORDSHIRE|WORCESTERSHIRE|SHROPSHIRE
LS1	LEEDS
B40	SOLIHULL
KT20	SURREY
LL77	ANGLESEY
SA43	PEMBROKESHIRE|CEREDIGION
B19	BIRMINGHAM
B93	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
SA64	PEMBROKESHIRE
WR14	WORCESTERSHIRE
WD23	HERTFORDSHIRE
LN7	LINCOLNSHIRE
RM11	GREATER_LONDON
ST55	STAFFORDSHIRE
CB5	CAMBRIDGESHIRE
BS25	SOMERSET
BD4	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
EC4P	GREATER_LONDON
LE4	LEICESTERSHIRE
BT41	ANTRIM_AND_NEWTOWNABBEY|MID_ULSTER|MID_AND_EAST_ANTRIM
PL14	CORNWALL
GU20	SURREY
G69	GLASGOW|EAST_DUNBARTONSHIRE|NORTH_LANARKSHIRE
TN28	KENT
AB56	ABERDEENSHIRE|MORAY
OX10	OXFORDSHIRE
PH5	PERTHSHIRE_AND_KINROSS
LA14	CUMBRIA
HP9	BUCKINGHAMSHIRE
FK11	CLACKMANNANSHIRE
CV1	COVENTRY
PH36	HIGHLAND
ST11	STAFFORDSHIRE
LS15	LEEDS
NR24	NORFOLK
EN5	HERTFORDSHIRE|GREATER_LONDON
HS8	EILEAN_SIAR
PE32	NORFOLK
B75	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
ML8	SOUTH_LANARKSHIRE|NORTH_LANARKSHIRE
SG4	HERTFORDSHIRE
DN35	LINCOLNSHIRE
LL35	GWYNEDD
HA9	GREATER_LONDON
GU23	SURREY
NE66	NORTHUMBERLAND
BL8	LANCASHIRE|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|BLACKBURN_WITH_DARWEN
KY15	FIFE
DT4	DORSET
SK14	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
DE7	NOTTINGHAMSHIRE|DERBYSHIRE
S74	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD
G13	GLASGOW|WEST_DUNBARTONSHIRE
GU22	SURREY
CT6	KENT
BD3	BRADFORD|LEEDS
BS27	SOMERSET
CV21	WARWICKSHIRE
BD98	BRADFORD
DG2	DUMFRIES_AND_GALLOWAY
BN25	EAST_SUSSEX
PL20	DEVON|CORNWALL
BS6	BRISTOL
CW2	STAFFORDSHIRE|CHESHIRE_EAST
EC3N	GREATER_LONDON
L19	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
TQ11	DEVON
M38	SALFORD
W1A	GREATER_LONDON
EH5	EDINBURGH
RH13	WEST_SUSSEX
CV8	WARWICKSHIRE|COVENTRY|SOLIHULL
PL23	CORNWALL
M14	MANCHESTER
NE44	NORTHUMBERLAND
GL4	GLOUCESTERSHIRE
AB35	ABERDEENSHIRE
SA46	CEREDIGION
CH48	WIRRAL
DL98	DARLINGTON
L18	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
EH46	MIDLOTHIAN|SOUTH_LANARKSHIRE|SCOTTISH_BORDERS
W13	GREATER_LONDON
S25	ROTHERHAM
ML9	SOUTH_LANARKSHIRE|NORTH_LANARKSHIRE
PA71	ARGYLL_AND_BUTE
LE2	LEICESTERSHIRE
B72	BIRMINGHAM
BD24	NORTH_YORKSHIRE
BH20	DORSET
TS23	DURHAM
CH63	WIRRAL
FK5	STIRLING|FALKIRK
CV12	WARWICKSHIRE
WF12	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
EX39	DEVON
IV19	HIGHLAND
NE1	NEWCASTLE_UPON_TYNE
W1B	GREATER_LONDON
LL32	CONWY
RM14	GREATER_LONDON|ESSEX
DT10	SOMERSET
CM17	ESSEX
PA49	ARGYLL_AND_BUTE
TN20	EAST_SUSSEX
PH39	HIGHLAND
DD2	ANGUS|PERTHSHIRE_AND_KINROSS|DUNDEE
BS26	SOMERSET
TN31	KENT|EAST_SUSSEX
CM11	ESSEX
BB3	BLACKBURN_WITH_DARWEN|LANCASHIRE
TA14	SOMERSET
CM3	ESSEX
NE26	SOUTH_TYNESIDE|NORTH_TYNESIDE|NORTHUMBERLAND
CT2	KENT
EX32	DEVON
WS4	WALSALL
RG14	WEST_BERKSHIRE
HU6	EAST_RIDING_OF_YORKSHIRE
IG2	GREATER_LONDON
TW13	GREATER_LONDON
WA12	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
M44	SALFORD
YO16	EAST_RIDING_OF_YORKSHIRE
LL70	ANGLESEY
TS13	NORTH_YORKSHIRE
BS23	SOMERSET|BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE
EX38	DEVON
G73	GLASGOW|SOUTH_LANARKSHIRE
CV5	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
BN50	BRIGHTON_AND_HOVE
WC1X	GREATER_LONDON
CH29	WIRRAL
SL3	BUCKINGHAMSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM|SURREY|GREATER_LONDON
N21	GREATER_LONDON
TA16	SOMERSET
TD6	SCOTTISH_BORDERS
NP10	NEWPORT|CAERPHILLY
SK16	TAMESIDE
NE42	SOUTH_TYNESIDE|NORTH_TYNESIDE|NORTHUMBERLAND
E11	GREATER_LONDON
NW2	GREATER_LONDON
S72	BARNSLEY|DONCASTER|ROTHERHAM|WAKEFIELD
B76	BIRMINGHAM|WARWICKSHIRE
DT6	DORSET
PH6	PERTHSHIRE_AND_KINROSS
S2	SHEFFIELD
LL60	ANGLESEY
LS22	LEEDS|NORTH_YORKSHIRE
AB36	ABERDEENSHIRE
NE11	GATESHEAD
CH5	FLINTSHIRE|CHESHIRE_WEST_AND_CHESTER
LL44	GWYNEDD
NE35	SOUTH_TYNESIDE
MK2	BUCKINGHAMSHIRE
G34	GLASGOW
CF64	VALE_OF_GLAMORGAN
PH1	PERTHSHIRE_AND_KINROSS
OX27	OXFORDSHIRE|BUCKINGHAMSHIRE|NORTHAMPTONSHIRE
BB1	LANCASHIRE|BLACKBURN_WITH_DARWEN
L13	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
FK3	FALKIRK
KA20	NORTH_AYRSHIRE
HA5	HERTFORDSHIRE|GREATER_LONDON
WV3	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
HP1	HERTFORDSHIRE
SW14	GREATER_LONDON
BT22	NORTH_DOWN_AND_ARDS
BR7	GREATER_LONDON
HX5	CALDERDALE
BS4	BRISTOL
LS6	LEEDS
EH13	EDINBURGH
E10	GREATER_LONDON
DE13	STAFFORDSHIRE
TD14	SCOTTISH_BORDERS
IV5	HIGHLAND
EC2V	GREATER_LONDON
TW6	SURREY|GREATER_LONDON
WS9	STAFFORDSHIRE|WALSALL
CM7	ESSEX
FY1	BLACKPOOL
IV54	HIGHLAND
TS19	STOCKTON-ON-TEES|HARTLEPOOL
L8	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
CH64	CHESHIRE_WEST_AND_CHESTER|WIRRAL
KA23	NORTH_AYRSHIRE
G66	EAST_DUNBARTONSHIRE|NORTH_LANARKSHIRE|GLASGOW|PERTHSHIRE_AND_KINROSS|STIRLING
L74	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
CF83	CARDIFF|RHONDDA_CYNON_TAFF|CAERPHILLY
WV8	WOLVERHAMPTON|STAFFORDSHIRE|SHROPSHIRE
PR5	LANCASHIRE
EC1N	GREATER_LONDON
DA14	KENT|GREATER_LONDON
TA23	SOMERSET
PA1	RENFREWSHIRE
EH37	MIDLOTHIAN|EAST_LOTHIAN|SCOTTISH_BORDERS
CM24	ESSEX|HERTFORDSHIRE
NE83	GATESHEAD
TQ1	DEVON
NR5	NORFOLK
DE99	DERBY
M60	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
YO23	NORTH_YORKSHIRE
BH21	BOURNEMOUTH|DORSET|HAMPSHIRE
UB3	GREATER_LONDON
SO51	WILTSHIRE|HAMPSHIRE
EH14	EDINBURGH
PO18	WEST_SUSSEX
EH3	EDINBURGH
NG34	LINCOLNSHIRE
WF16	KIRKLEES
DG1	DUMFRIES_AND_GALLOWAY|SOUTH_LANARKSHIRE
MK8	MILTON_KEYNES|BUCKINGHAMSHIRE
ST5	STAFFORDSHIRE
KY99	FIFE
TD8	SCOTTISH_BORDERS
WV12	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
CW9	CHESHIRE_EAST|CHESHIRE_WEST_AND_CHESTER
SW20	GREATER_LONDON
PL3	DEVON
SR7	DURHAM|SUNDERLAND
G60	WEST_DUNBARTONSHIRE|EAST_DUNBARTONSHIRE|INVERCLYDE|EAST_RENFREWSHIRE|RENFREWSHIRE
SK6	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
KA14	NORTH_AYRSHIRE|ARGYLL_AND_BUTE|EAST_AYRSHIRE
EH44	SCOTTISH_BORDERS
SA7	SWANSEA|NEATH_PORT_TALBOT
TN39	EAST_SUSSEX
