outer_postcode,region,lat,long
TR23,TR,49.953605,-6.352647
B78,B,52.605336396072,-1.67327004418985
MK5,MK,52.0209117780488,-0.784646712195121
CW5,CW,53.0617916008359,-2.52195705015674
PA20,PA,55.834195959707,-5.05724137728938
M19,M,53.4364319196538,-2.19630678244747
BH16,BH,50.740171649874,-2.04739284382872
PO10,PO,50.8522482702237,-0.92919847848537
S33,S,53.3440601566265,-1.73970473493976
TN36,TN,50.9203088415842,0.699038603960396
DL15,DL,54.7109814992847,-1.73034920457797
BT78,BT,54.5708106614719,-7.3762512095238
AB45,AB,57.651564174267,-2.56757735504886
WC1B,WCB,51.5194541882353,-0.125953323529412
TN29,TN,50.9938329729207,0.932508905222438
EH43,EH,55.6238441851852,-3.01136081481481
FK19,FK,56.3707566071429,-4.31388660714286
MK46,MK,52.1556449314079,-0.702506891696751
W1F,WF,51.5134952589167,-0.136494578599736
LN10,LN,53.1586821927084,-0.217424895833333
SN99,SN,51.551996,-1.722548
NP15,NP,51.7263624314214,-2.88658544389027
BL2,BL,53.5885219122037,-2.39500753731343
L68,L,53.473055,-2.960691
FY5,FY,53.8752953836699,-3.02199818876207
TS11,TS,54.5876124057143,-1.02693659714286
LL15,LL,53.103211870824,-3.31628877282851
TN26,TN,51.0963570079208,0.79743956039604
S1,S,53.3799947782258,-1.47106027620968
BN21,BN,50.7726685062501,0.276576923958333
OL4,OL,53.5424230038424,-2.07355518731988
BN51,BN,50.8048208823529,-0.058662470588235
HD3,HD,53.6535612206703,-1.83202210335196
EC3R,ECR,51.510451,-0.083389561797753
DN37,DN,53.5400157573416,-0.138510313755796
BT67,BT,54.4869370061729,-6.2663223580247
GU19,GU,51.3596298802395,-0.69124125748503
TS16,TS,54.5222467261539,-1.35592603692308
LE1,LE,52.6339865693641,-1.13248590751445
IV28,IV,58.0097047727273,-4.15817586363636
NG33,NG,52.816242021978,-0.581081654945055
WA55,WA,53.391319,-2.60897471428571
TW5,TW,51.4824254221105,-0.386226585427136
DN34,DN,53.5573954537634,-0.113352008602151
SY13,SY,52.9521697856315,-2.69012310660487
